variant	canonical	count	count_in_english_group
onk	onek	3512	0
vlo	valo	2361	0
akta	ekta	1101	0
tnx	thanks	1097	346
cilo	chilo	1041	0
silo	chilo	910	0
bhalo	valo	823	0
amr	amar	732	0
ai	ei	678	0
gula	gulo	609	0
aktu	ektu	531	0
onak	onek	518	0
ata	eta	497	0
paici	paisi	451	38
balo	valo	437	47
akdom	ekdom	436	35
jai	jay	428	0
bt	but	424	98
besi	beshi	412	0
hoi	hoy	410	0
tik	thik	352	0
shundor	sundor	345	0
kub	khub	326	14
peyeci	peyechi	315	26
jinish	jinis	299	10
paichi	paisi	293	17
gese	geche	285	0
ace	ache	280	0
nah	na	274	0
peyesi	peyechi	269	22
sellar	seller	268	84
kew	keu	255	0
shob	sob	253	0
kisu	kichu	250	0
aita	eita	223	0
jmn	jemon	222	14
motamoti	motamuti	210	16
tmn	temon	202	17
caile	chaile	200	0
onujai	onujayi	187	7
vhalo	valo	184	18
vloi	valoi	182	27
hoice	hoise	181	6
tnq	thanks	180	36
thnx	thanks	180	99
akhon	ekhon	168	0
khob	khub	167	15
daraj	daraz	161	87
hisabe	hisebe	159	1
abr	abar	157	0
kmn	kemon	149	0
jamon	jemon	148	8
selar	seller	148	36
dice	dise	138	8
tamon	temon	129	3
shobai	sobai	126	1
lagce	lagse	126	1
hoiche	hoise	124	0
diche	dise	122	0
amk	amake	121	1
lagche	lagse	118	0
jnno	jonno	115	5
kase	kache	114	0
bhai	vai	113	2
kinto	kintu	112	3
kicu	kichu	112	0
sondor	sundor	110	8
celo	chilo	108	6
babohar	bebohar	102	1
selo	chilo	96	7
nh	na	95	3
akhono	ekhono	91	0
akto	ektu	91	4
hoyese	hoyeche	85	2
keo	keu	81	0
sobay	sobai	77	9
hishebe	hisebe	75	2
amon	emon	75	0
mutamuti	motamuti	75	6
thx	thanks	74	38
donnobad	dhonnobad	73	0
gece	geche	72	1
posondo	pochondo	71	1
akhn	ekhon	70	0
shathe	sathe	69	2
hosse	hocche	69	0
akti	ekti	69	3
khusi	khushi	67	3
hocce	hocche	66	1
onnek	onek	65	2
anek	onek	63	1
osadaron	osadharon	62	4
oshadharon	osadharon	61	0
karap	kharap	59	1
bhaloi	valoi	58	0
thanx	thanks	55	41
khuv	khub	55	2
naa	na	51	0
kubi	khubi	48	2
pocondo	pochondo	44	1
sundr	sundor	41	5
onujaye	onujayi	38	0
hishabe	hisebe	37	1
ekhn	ekhon	36	0
sundar	sundor	31	4
khobi	khubi	25	2
kamon	kemon	25	0
vhaloi	valoi	24	2
caisi	chaisi	24	0
baloi	valoi	22	7
chaichi	chaisi	21	1
thnq	thanks	21	8
tiktak	thikthak	19	2
bhaiya	vaiya	19	1
tamoni	temoni	18	4
ayta	eita	15	1
akhno	ekhono	14	0
peyachi	peyechi	12	1
dhonnobaad	dhonnobad	12	0
jamonta	jemonta	11	2
jmnta	jemonta	10	0
khoob	khub	7	1
shobay	sobai	7	0
kicchu	kichu	6	0
asey	ache	6	0
tmni	temoni	6	0
thiktak	thikthak	5	0
mutamoti	motamuti	4	0
bhlo	valo	3	0
valow	valo	3	0
tikthak	thikthak	3	0
hoyeci	hoyeche	1	1
byabohar	bebohar	1	0
bhalow	valo	0	0
dhonnyobad	dhonnobad	0	0
dhonyobad	dhonnobad	0	0
shundar	sundor	0	0
pochhondo	pochondo	0	0
