model,text,seed,macro_f1,accuracy,neg_f1,pos_f1,bangla_script,english,romanized,romanized_codemixed,mixed_script
banglabert,min,42,0.8214,0.8866,0.7135,0.9293,0.7936,0.8498,0.7787,0.8346,0.8492
banglabert,norm,42,0.8256,0.8906,0.719,0.9321,0.8034,0.8502,0.7924,0.8308,0.8465
word_tfidf_svm,min,0,0.7998,0.8676,0.6833,0.9163,0.7715,0.8312,0.7576,0.8057,0.8286
word_tfidf_svm,norm,0,0.7996,0.8676,0.6829,0.9164,0.7731,0.8317,0.7596,0.7987,0.8292
xlmr,min,42,0.8137,0.8813,0.7015,0.9259,0.787,0.8509,0.7606,0.8108,0.8445
xlmr,min,43,0.8194,0.8836,0.7118,0.9271,0.7939,0.8528,0.7702,0.821,0.843
xlmr,min,44,0.8184,0.8825,0.7104,0.9263,0.7929,0.8556,0.756,0.8182,0.8408
xlmr,norm,42,0.8207,0.8842,0.7139,0.9274,0.7939,0.8538,0.7765,0.8227,0.8496
xlmr,norm,43,0.8197,0.8836,0.7123,0.927,0.793,0.8542,0.7792,0.8179,0.8468
xlmr,norm,44,0.8193,0.8831,0.712,0.9266,0.7913,0.8569,0.7731,0.8191,0.8408
