model,text,seed,macro_f1,accuracy,neg_p,neg_r,neg_f1,pos_p,pos_r,pos_f1,bangla_script,english,romanized,romanized_codemixed,mixed_script
xlmr,min,42,0.8137,0.8813,0.6311,0.7896,0.7015,0.9523,0.901,0.9259,0.787,0.8509,0.7606,0.8108,0.8445
xlmr,min,43,0.8194,0.8836,0.6326,0.8137,0.7118,0.9574,0.8986,0.9271,0.7939,0.8528,0.7702,0.821,0.843
xlmr,min,44,0.8184,0.8825,0.6291,0.8158,0.7104,0.9578,0.8968,0.9263,0.7929,0.8556,0.756,0.8182,0.8408
xlmr,norm,42,0.8207,0.8842,0.6335,0.8177,0.7139,0.9583,0.8985,0.9274,0.7939,0.8538,0.7765,0.8227,0.8496
xlmr,norm,43,0.8197,0.8836,0.6321,0.8158,0.7123,0.9579,0.8982,0.927,0.793,0.8542,0.7792,0.8179,0.8468
xlmr,norm,44,0.8193,0.8831,0.6302,0.8181,0.712,0.9583,0.897,0.9266,0.7913,0.8569,0.7731,0.8191,0.8408
banglabert,min,42,0.8214,0.8866,0.6441,0.7997,0.7135,0.9547,0.9052,0.9293,0.7936,0.8498,0.7787,0.8346,0.8492
banglabert,norm,42,0.8256,0.8906,0.6581,0.7924,0.719,0.9534,0.9117,0.9321,0.8034,0.8502,0.7924,0.8308,0.8465
word_tfidf_lr,min,0,0.7995,0.866,0.5862,0.821,0.684,0.958,0.8757,0.915,0.7735,0.8297,0.7615,0.8016,0.8226
word_tfidf_svm,min,0,0.7998,0.8676,0.5916,0.8087,0.6833,0.9555,0.8802,0.9163,0.7715,0.8312,0.7576,0.8057,0.8286
char_tfidf_lr,min,0,0.7854,0.8546,0.561,0.8122,0.6636,0.9554,0.8637,0.9072,0.7595,0.8134,0.7554,0.7869,0.8097
char_tfidf_svm,min,0,0.7873,0.8548,0.5604,0.8255,0.6676,0.9583,0.8611,0.9071,0.7615,0.8152,0.7551,0.7893,0.8119
word_tfidf_lr,norm,0,0.7982,0.8682,0.5955,0.791,0.6794,0.9518,0.8847,0.917,0.7709,0.83,0.7538,0.8019,0.8279
word_tfidf_svm,norm,0,0.7996,0.8676,0.5919,0.8068,0.6829,0.9551,0.8807,0.9164,0.7731,0.8317,0.7596,0.7987,0.8292
char_tfidf_lr,norm,0,0.786,0.8547,0.561,0.8153,0.6647,0.9561,0.8631,0.9073,0.7605,0.8138,0.7598,0.7851,0.8111
char_tfidf_svm,norm,0,0.7877,0.8547,0.56,0.829,0.6684,0.9591,0.8603,0.907,0.7613,0.8171,0.758,0.7876,0.8119
